timestamp,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,command_encoded
2026-02-01 18:24:46.547224,41,84,463064,455822,7016,295003,2513,82687,1724,440674,r,4
2026-02-01 18:24:47.518680,40,84,426902,473167,6818,279533,2097,74164,1422,420777,r,4
2026-02-01 18:24:48.530141,38,82,418017,292433,7185,262212,3082,84704,1646,411524,r,4
2026-02-01 18:25:07.402360,53,45,510449,216581,64069,118390,2198,73944,1833,403093,r,4
2026-02-01 18:25:08.397291,81,67,511604,177622,72925,86741,1943,72276,1689,376058,r,4
2026-02-01 18:25:09.392352,84,67,468935,213050,19911,172997,1497,74774,1618,375820,r,4
2026-02-01 18:25:10.383563,76,73,526132,291547,53353,135141,2133,73585,1351,376553,r,4
2026-02-01 18:25:11.378572,69,76,1251599,811984,70843,328273,7830,220092,4128,998205,r,4
2026-02-01 18:25:12.368052,62,75,1085691,837806,80761,255768,8286,236853,4346,993270,r,4
2026-02-01 18:25:13.362271,61,68,1064702,882781,44429,282915,7674,237829,4720,988057,r,4
2026-02-01 18:25:14.359271,61,60,330575,385246,18885,108544,2001,92003,1962,366531,r,4
2026-02-01 18:25:15.349793,61,56,210110,335662,8373,108574,1671,52533,1483,244294,r,4
2026-02-01 18:25:16.341088,56,55,360871,141058,2957,148236,1193,51808,942,250187,r,4
2026-02-01 18:25:45.124626,40,47,51480,62698,7784,39445,1198,39225,849,133268,r,4
2026-02-01 18:25:46.139388,62,74,276615,134058,31754,39264,3521,41932,838,226905,r,4
2026-02-01 18:25:47.134369,66,79,309288,141780,36614,32813,3839,39349,902,226392,r,4
2026-02-01 18:25:48.130790,68,76,335481,332511,37318,106865,3915,61349,1254,339991,r,4
2026-02-01 18:25:49.121955,66,71,236759,308939,13984,175119,1724,69520,1349,342150,r,4
2026-02-01 18:25:50.113194,57,69,709865,546410,28249,458427,5705,176145,3365,907593,r,4
2026-02-01 18:25:51.109431,52,73,945572,410890,25288,471975,7673,173824,3278,911923,r,4
2026-02-01 18:25:52.100222,50,81,984381,399867,26724,475214,8139,177850,3231,911287,r,4
2026-02-01 18:25:53.093090,54,88,1085076,799577,25854,522620,8093,175769,3772,921277,r,4
2026-02-01 18:25:54.090198,56,91,917497,856982,25018,505945,6454,176374,3933,919631,r,4
2026-02-01 18:26:11.966815,43,43,364955,430640,8973,360668,5409,108096,5136,513530,r,4
2026-02-01 18:26:12.942656,65,63,537746,381290,10163,425109,5503,122674,1391,644528,r,4
2026-02-01 18:26:13.944118,63,63,402339,704091,8443,402930,6667,121242,1274,621895,r,4
2026-02-01 18:26:14.944216,60,66,441522,822396,9671,403486,6986,177838,3297,784912,r,4
2026-02-01 18:26:15.940464,58,70,331832,849165,8657,279332,5067,191539,4961,738908,r,4
2026-02-01 18:26:16.932906,61,63,228488,517337,10472,100886,1969,212543,6672,689888,r,4
2026-02-01 18:26:17.924294,69,53,204008,499262,8901,89571,1986,210170,6517,680719,r,4
2026-02-01 18:26:18.918029,78,38,270429,479909,11634,100019,2060,201708,5939,681289,r,4
2026-02-01 18:26:19.910599,85,29,301558,597580,14231,182323,3190,194768,4507,702888,r,4
2026-02-01 18:26:20.906625,85,27,345120,695518,13633,285983,3515,177849,3291,715388,r,4
2026-02-01 18:26:38.784211,41,34,967782,673560,24858,247421,10770,272712,8337,1119490,r,4
2026-02-01 18:26:39.780846,62,52,1347699,764335,27183,360898,12010,294134,8355,1276139,r,4
2026-02-01 18:26:40.770300,62,58,1693004,798382,23610,402292,10200,303381,8408,1276088,r,4
2026-02-01 18:26:41.765301,62,66,1489637,287131,13708,332037,5619,143521,3067,667859,r,4
2026-02-01 18:26:42.760710,64,74,1349164,274427,14639,340446,5759,139493,3174,661785,r,4
2026-02-01 18:26:43.751833,65,82,827970,595690,12764,374249,6921,121963,2597,662563,r,4
2026-02-01 18:26:44.742106,61,85,345822,709170,4985,318539,4882,132476,2641,619520,r,4
2026-02-01 18:26:45.737772,56,81,165814,759061,6024,213748,3717,147640,3217,588436,r,4
2026-02-01 18:26:46.733600,52,67,424523,449085,23871,135343,3953,161692,2930,575976,r,4
2026-02-01 18:26:47.725128,54,53,435010,417770,23978,131101,3290,158802,3260,570029,r,4
2026-02-01 18:27:07.588940,38,48,1170847,440969,34906,337825,15654,196287,4583,973013,r,4
2026-02-01 18:27:08.581363,61,66,929793,463866,38720,322413,15502,191918,4681,951728,r,4
2026-02-01 18:27:09.576239,65,66,691325,401471,14974,277572,2950,86855,2086,502341,r,4
2026-02-01 18:27:10.571489,64,68,770930,430393,9186,268282,2138,91002,1910,494084,r,4
2026-02-01 18:27:11.563858,55,77,1021036,1028347,35676,488468,5806,172619,3712,963979,r,4
2026-02-01 18:27:12.555379,45,77,881485,824536,32306,399379,5021,155450,3314,836556,r,4
2026-02-01 18:27:13.550100,39,76,624565,757948,32948,348204,5183,130782,3043,714332,r,4
2026-02-01 18:27:14.542580,38,73,471079,530306,22898,306408,5424,134690,2722,717158,r,4
2026-02-01 18:27:15.539872,38,71,727447,543901,26330,346803,6609,165817,3202,831387,r,4
2026-02-01 18:27:16.530067,44,74,1228300,693982,118204,397359,25192,213048,5373,1396461,r,4
2026-02-01 18:27:36.393788,33,48,859439,322845,12155,176875,2296,88061,1929,407795,r,4
2026-02-01 18:27:37.366238,51,79,928969,392358,28452,294631,11146,222700,4055,873683,r,4
2026-02-01 18:27:38.381140,53,88,1345856,390233,46166,321069,14681,262919,4593,991267,r,4
2026-02-01 18:27:39.352391,61,84,851822,358862,47431,242468,14082,234818,4292,855536,r,4
2026-02-01 18:27:40.376886,66,79,754913,509834,39525,351066,10938,183377,2923,869666,r,4
2026-02-01 18:27:41.358773,69,76,327602,523998,21209,324189,7192,143655,2482,743454,r,4
2026-02-01 18:27:42.353623,63,74,290352,503076,26058,308292,7199,145259,2545,741449,r,4
2026-02-01 18:27:43.328376,55,69,304061,203467,20241,88948,4630,49777,1639,232720,r,4
2026-02-01 18:27:44.342381,49,66,305151,185125,21536,75496,4965,48202,1683,233187,r,4
2026-02-01 18:27:45.334869,47,63,321327,186479,14847,91579,4902,45870,1492,232195,r,4
2026-02-01 18:28:03.212430,43,44,601086,720807,248767,131839,3829,122469,3312,742136,r,4
2026-02-01 18:28:04.207243,58,67,719001,613394,266526,84880,5239,101341,3010,692913,r,4
2026-02-01 18:28:05.199816,51,70,760395,632750,266524,78948,5190,103427,3175,689764,r,4
2026-02-01 18:28:06.173750,45,66,448149,294685,29575,83979,3619,48490,1796,281668,r,4
2026-02-01 18:28:07.165740,43,60,933224,583061,175535,120276,2887,113284,3921,654836,r,4
2026-02-01 18:28:08.182322,40,55,873643,608728,174839,129064,2885,113600,3976,655239,r,4
2026-02-01 18:28:09.173557,40,51,870165,528357,170247,168580,4291,108902,3197,663612,r,4
2026-02-01 18:28:10.175979,40,55,192555,176056,6091,135095,2464,35946,797,196817,r,4
2026-02-01 18:28:11.165970,38,61,200325,144258,7404,131351,2568,33660,571,196766,r,4
2026-02-01 18:28:12.153457,36,67,117400,115207,37292,61995,1292,34297,512,196767,r,4
2026-02-01 18:28:39.965975,42,40,1127589,570026,232161,222626,35615,176667,4706,1176427,r,4
2026-02-01 18:28:40.958419,56,63,1198835,597669,243829,179655,38677,152010,4225,1124375,r,4
2026-02-01 18:28:41.950966,47,64,974882,433423,110999,121796,26198,87183,3945,750515,r,4
2026-02-01 18:28:42.941177,46,65,514158,187241,42449,35382,5234,49146,2125,277980,r,4
2026-02-01 18:28:43.941136,49,59,340416,318313,61714,31163,2263,54638,1900,285034,r,4
2026-02-01 18:28:44.935731,49,51,512879,500959,152561,70321,15315,144796,3305,687254,r,4
2026-02-01 18:28:45.924800,52,46,1017839,724483,261680,92411,29296,207116,4778,1154378,r,4
2026-02-01 18:28:46.915894,52,45,1268537,814657,313038,111151,35334,268074,7288,1500671,r,4
2026-02-01 18:28:47.911596,52,47,1131317,681866,207921,102968,22086,178719,5235,1097229,r,4
2026-02-01 18:28:48.905904,52,50,814158,478765,130558,87371,11839,130133,3714,722618,r,4
2026-02-01 18:29:13.735624,41,41,617277,569325,167113,106167,7366,69983,2914,715550,r,4
2026-02-01 18:29:14.728244,54,66,517864,509798,145052,127581,8432,58067,3350,677030,r,4
2026-02-01 18:29:15.723203,42,73,697388,545467,163138,134806,10766,74785,3626,775147,r,4
2026-02-01 18:29:16.715705,35,73,645159,179905,55882,97595,5131,57249,1508,394714,r,4
2026-02-01 18:29:17.712253,35,73,900152,256834,161138,66613,7966,88951,2223,759220,r,4
2026-02-01 18:29:18.702914,42,73,889918,447007,357212,55572,12303,165102,3763,1128052,r,4
2026-02-01 18:29:19.697248,48,75,1059552,623261,452083,87971,22932,229842,4986,1506809,r,4
2026-02-01 18:29:20.690665,54,76,962165,747223,459260,192182,21348,248526,5159,1535374,r,4
2026-02-01 18:29:21.685758,54,75,1338789,680596,417302,225052,20891,242340,5969,1549245,r,4
2026-02-01 18:29:22.653174,54,76,960054,620163,296487,248992,11609,182959,4994,1170047,r,4
2026-02-01 18:29:50.485802,38,47,456821,162550,65012,43405,3775,78026,1770,416775,r,4
2026-02-01 18:29:51.479490,58,69,789331,289450,116598,37394,7387,133903,2699,682932,r,4
2026-02-01 18:29:52.474504,54,66,1139021,385616,146940,27886,8126,211065,3210,905012,r,4
2026-02-01 18:29:53.465755,62,56,944501,515001,178895,19050,16134,225253,3335,890950,r,4
2026-02-01 18:29:54.461815,67,46,690261,524120,175736,10081,18508,229679,4099,865476,r,4
2026-02-01 18:29:55.455667,74,39,824963,608957,206068,18475,26776,218382,4088,871199,r,4
2026-02-01 18:29:56.444827,76,35,671117,844836,133096,15675,19203,223724,5375,864902,r,4
2026-02-01 18:29:57.439413,71,28,1114361,836832,125888,13598,16826,212621,6545,881870,r,4
2026-02-01 18:29:58.431903,66,24,715534,766203,105753,5889,8886,202571,6581,869052,r,4
2026-02-01 18:29:59.425585,62,20,894758,388579,187522,13569,12323,193146,6212,871029,r,4
2026-02-01 18:30:20.283219,32,41,476901,250745,48360,63563,6869,76765,2642,382147,r,4
